"","Meaning","NineEnd","Age"
"963",,0,63
"965",,0,47
"967",4,0,36
"969",2,0,38
"970",1,0,28
"971",,0,41
"973",4,0,64
"974",,0,26
"976",4,1,59
"977",4,0,40
"979",2,0,41
"980",4,0,32
"981",4,0,37
"982",4,0,48
"984",4,0,45
"985",4,0,40
"986",,0,28
"988",4,0,44
"989",4,0,57
"990",4,0,52
"991",4,0,35
"993",,1,39
"994",4,0,33
"995",2,0,52
"997",4,1,29
"998",4,0,36
"1000",,0,46
"1001",,0,51
"1002",4,0,62
"1003",,0,38
"1004",,0,28
"1005",2,0,50
"1006",4,0,33
"1007",4,0,34
"1008",4,0,41
"1009",,0,33
"1010",4,0,33
"1011",,0,44
"1012",4,0,25
"1013",4,0,25
"1014",,0,25
"1015",4,0,46
"1016",2,1,49
"1017",2,0,45
"1019",4,0,31
"1020",2,0,41
"1021",,0,34
"1024",4,0,26
"1025",2,0,50
"1026",4,0,41
"1027",,0,32
"1028",2,0,32
"1029",,0,35
"1032",4,0,40
"1033",2,0,55
"1034",4,0,33
"1035",,0,26
"1036",,1,29
"1037",,0,50
"1038",4,0,40
"1039",,0,40
"1040",,0,55
"1042",4,0,25
"1045",2,0,40
"1047",2,0,26
"1048",,1,29
"1049",4,0,25
"1050",,0,30
"1052",4,0,45
"1053",,0,30
"1054",,1,49
"1055",4,0,31
"1056",2,0,36
"1057",,0,31
"1059",4,0,51
"1060",4,1,29
"1061",,0,31
"1062",,0,44
"1063",,0,30
"1066",4,0,48
"1067",,0,40
"1069",4,0,38
"1070",4,0,31
"1071",4,0,25
"1072",2,0,30
"1073",4,0,26
"1074",4,0,43
"1075",4,0,45
"1076",4,0,47
"1078",4,1,59
"1079",4,0,40
"1080",4,0,63
"1081",2,0,37
"1082",,0,25
"1083",4,0,48
"1085",2,0,43
"1086",4,0,33
"1089",,0,35
"1090",,0,44
"1091",4,1,29
"1092",2,1,29
"1093",2,0,45
"1094",2,0,32
"1096",4,0,50
"1097",,0,47
"1098",4,0,48
"1099",2,0,30
"1100",2,0,27
"1101",,0,40
"1102",4,1,49
"1103",,0,53
"1104",2,0,51
"1105",4,0,35
"1106",2,0,34
"1107",,0,40
"1108",4,0,30
"1109",,0,34
"1110",,0,36
"1111",,0,28
"1112",4,0,61
"1114",4,0,57
"1115",,0,41
"1116",,0,34
"1118",2,0,35
"1119",,0,40
"1120",4,0,40
"1121",,0,52
"1122",,0,25
"1123",,0,36
"1124",1,0,27
"1125",2,0,35
"1126",2,0,26
"1128",4,0,27
"1129",4,0,25
"1130",,0,64
"1131",4,0,51
"1132",4,1,29
"1133",,1,39
"1134",,0,64
"1135",2,0,25
"1136",,0,52
"1137",4,0,28
"1138",2,0,60
"1139",,0,25
"1140",,0,44
"1141",,0,43
"1142",,0,37
"1143",,0,41
"1144",,0,34
"1145",,0,41
"1146",,0,64
"1147",,0,25
"1148",,0,31
"1149",4,0,40
"1150",,0,32
"1151",2,0,27
"1152",4,0,41
"1153",2,0,50
"1154",4,0,31
"1155",,0,35
"1156",,0,47
"1157",,0,25
"1158",4,1,39
"1159",,0,31
"1160",4,0,30
"1161",,0,52
"1162",2,0,50
"1163",1,0,60
"1164",2,1,49
"1165",,1,29
"1166",2,0,54
"1167",1,0,30
"1168",,0,42
"1169",,0,44
"1171",,0,33
"1172",4,0,25
"1173",4,0,30
"1175",,0,62
"1177",,0,40
"1178",,0,25
"1179",,0,34
"1180",2,0,28
"1181",2,0,58
"1182",,0,41
"1183",4,0,31
"1184",4,0,40
"1185",,0,31
"1186",4,1,59
"1187",,1,39
"1188",2,0,27
"1189",,0,33
"1190",2,1,39
"1191",,0,38
"1192",2,0,36
"1193",4,0,42
"1194",4,0,40
"1195",4,0,40
"1196",2,0,28
"1197",2,0,35
"1198",4,1,39
"1199",,0,48
"1201",,0,41
"1202",4,1,39
